Time,PTSI,VSI,VCPI,Frequency,df/dt,Voltage
0.81,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
0.82,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
0.83,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
0.84,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
0.85,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
0.86,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
0.87,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
0.88,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
0.89,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
0.9,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
0.91,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
0.92,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
0.93,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
0.94,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
0.95,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
0.96,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
0.97,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
0.98,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
0.99,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.01,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.02,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.03,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.04,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.05,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.06,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.07,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.08,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.09,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.1,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.11,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.12,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.13,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.14,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.15,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.16,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.17,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.18,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.19,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.2,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.21,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.22,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.23,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.24,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.25,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.26,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.27,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.28,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.29,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.3,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.31,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
